country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_inc_num_f014,e_inc_num_f014_lo,e_inc_num_f014_hi,e_inc_num_f15plus,e_inc_num_f15plus_lo,e_inc_num_f15plus_hi,e_inc_num_f,e_inc_num_f_lo,e_inc_num_f_hi,e_inc_num_m014,e_inc_num_m014_lo,e_inc_num_m014_hi,e_inc_num_m15plus,e_inc_num_m15plus_lo,e_inc_num_m15plus_hi,e_inc_num_m,e_inc_num_m_lo,e_inc_num_m_hi,e_inc_num_014,e_inc_num_014_lo,e_inc_num_014_hi,e_inc_num_15plus,e_inc_num_15plus_lo,e_inc_num_15plus_hi,e_tbhiv_prct,e_tbhiv_prct_lo,e_tbhiv_prct_hi,e_inc_tbhiv_100k,e_inc_tbhiv_100k_lo,e_inc_tbhiv_100k_hi,e_inc_tbhiv_num,e_inc_tbhiv_num_lo,e_inc_tbhiv_num_hi,e_mort_exc_tbhiv_100k,e_mort_exc_tbhiv_100k_lo,e_mort_exc_tbhiv_100k_hi,e_mort_exc_tbhiv_num,e_mort_exc_tbhiv_num_lo,e_mort_exc_tbhiv_num_hi,e_mort_tbhiv_100k,e_mort_tbhiv_100k_lo,e_mort_tbhiv_100k_hi,e_mort_tbhiv_num,e_mort_tbhiv_num_lo,e_mort_tbhiv_num_hi,e_mort_100k,e_mort_100k_lo,e_mort_100k_hi,e_mort_num,e_mort_num_lo,e_mort_num_hi,cfr,cfr_lo,cfr_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi
India,IN,IND,356,SEA,2000,1053481072,289,149,473,3040000,1570000,4980000,,,,,,,,,,,,,,,,,,,,,,,,,7.3,5.9,8.8,21,10,35,221000,109000,372000,56,48,64,587000,509000,670000,5.8,2.3,11,61000,24000,116000,62,53,71,648000,558000,744000,,,,106,37,22,71
India,IN,IND,356,SEA,2001,1071888190,288,149,472,3090000,1600000,5050000,,,,,,,,,,,,,,,,,,,,,,,,,7.5,6.1,9.1,22,11,36,232000,114000,391000,56,49,63,598000,521000,680000,6.8,3,12,73000,33000,129000,63,54,72,670000,580000,767000,,,,101,35,21,68
India,IN,IND,356,SEA,2002,1090189358,287,149,470,3130000,1620000,5120000,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.2,9.2,22,11,37,239000,118000,403000,56,49,63,605000,529000,686000,9.4,5.4,15,103000,59000,158000,65,57,74,708000,618000,804000,,,,97,34,21,66
India,IN,IND,356,SEA,2003,1108369577,285,148,467,3160000,1640000,5180000,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.2,9.2,22,11,37,242000,119000,407000,55,47,62,605000,526000,689000,9.4,5.4,14,104000,60000,160000,64,56,73,709000,616000,807000,,,,97,34,21,66
India,IN,IND,356,SEA,2004,1126419321,282,146,463,3180000,1650000,5210000,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.2,9.1,21,11,36,241000,119000,405000,52,46,59,589000,514000,670000,9,5.1,14,101000,57000,158000,61,53,70,691000,601000,786000,,,,101,36,22,69
India,IN,IND,356,SEA,2005,1144326293,279,144,456,3190000,1650000,5220000,,,,,,,,,,,,,,,,,,,,,,,,,7.4,6,8.9,21,10,35,236000,117000,398000,50,43,57,573000,494000,657000,8.6,4.8,13,99000,55000,154000,59,51,67,671000,579000,770000,,,,101,36,22,70
India,IN,IND,356,SEA,2006,1162088305,274,142,448,3180000,1650000,5210000,,,,,,,,,,,,,,,,,,,,,,,,,7.2,5.9,8.7,20,9.7,33,230000,113000,386000,48,41,55,553000,476000,636000,8,4.3,13,93000,50000,148000,56,48,64,646000,555000,743000,,,,106,39,24,75
India,IN,IND,356,SEA,2007,1179685631,268,139,439,3160000,1640000,5170000,,,,,,,,,,,,,,,,,,,,,,,,,7,5.7,8.4,19,9.2,32,221000,109000,372000,46,39,53,537000,457000,624000,9.3,7.8,11,110000,91000,130000,55,48,62,647000,564000,735000,,,,110,41,25,79
India,IN,IND,356,SEA,2008,1197070109,261,135,428,3130000,1620000,5120000,,,,,,,,,,,,,,,,,,,,,,,,,6.7,3.7,11,18,6.7,34,211000,81000,402000,44,37,52,528000,446000,617000,6.7,3.4,11,80000,41000,133000,51,43,59,609000,515000,710000,,,,111,43,26,82
India,IN,IND,356,SEA,2009,1214182182,254,132,417,3090000,1600000,5060000,,,,,,,,,,,,,,,,,,,,,,,,,6.4,4.1,9.1,16,7,29,197000,85000,356000,42,36,50,515000,431000,605000,6.1,3,10,74000,37000,124000,48,41,57,588000,495000,690000,,,,111,44,27,85
India,IN,IND,356,SEA,2010,1230984504,247,128,405,3050000,1580000,4990000,,,,,,,,,,,,,,,,,,,,,,,,,6,4.7,7.4,15,7.2,25,182000,88000,310000,40,33,48,498000,410000,594000,6.7,5.5,8,82000,67000,98000,47,40,55,579000,490000,676000,,,,109,44,27,85
India,IN,IND,356,SEA,2011,1247446011,241,125,394,3000000,1550000,4920000,,,,,,,,,,,,,,,,,,,,,,,,,5.6,4.7,6.6,14,6.8,23,169000,84000,282000,39,32,47,486000,394000,588000,6,4.9,7.3,75000,61000,91000,45,37,53,561000,467000,664000,,,,106,44,27,85
India,IN,IND,356,SEA,2012,1263589639,234,121,384,2960000,1530000,4850000,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.7,6.1,13,6.4,21,159000,80000,263000,38,31,47,486000,393000,588000,5.6,4.5,6.8,71000,57000,86000,44,37,52,556000,462000,660000,,,,102,44,27,84
India,IN,IND,356,SEA,2013,1279498874,228,118,374,2920000,1510000,4790000,,,,,,,,,,,,,,,,,,,,,,,,,5,4.4,5.6,11,5.7,19,145000,74000,240000,38,30,47,488000,389000,598000,4.9,3.5,6.4,62000,45000,82000,43,35,52,550000,449000,661000,,,,97,43,26,82
India,IN,IND,356,SEA,2014,1295291543,223,115,365,2890000,1500000,4730000,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.8,4.7,9.5,4.9,16,123000,63000,204000,37,30,46,483000,384000,593000,3.3,2.1,4.8,43000,27000,62000,41,33,49,526000,425000,637000,,,,124,56,34,110
India,IN,IND,356,SEA,2015,1311050527,217,112,355,2840000,1470000,4650000,136000,78000,193000,860000,112000,1610000,995000,191000,1800000,119000,78000,161000,1730000,1070000,2380000,1850000,1150000,2540000,255000,181000,328000,2590000,1750000,3420000,4,3.6,4.4,8.6,4.4,14,113000,58000,186000,36,29,45,478000,379000,588000,2.8,1.6,4.3,37000,21000,57000,39,32,48,514000,414000,626000,0.2,0.11,0.36,127,59,36,110